number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.09782376307994127,10,0.1,180,30,12,0.00015490337954047288,7,16,0.7,0.011520277198680635,COMPLETE
1,0.021871298737823962,10,0,120,90,12,0.0002160990834463979,5,24,0.75,0.018537881894584524,COMPLETE
2,0.022787502221763133,10,0,210,120,10,1.249802829830662e-05,3,20,0.75,0.06180309978627488,COMPLETE
3,0.04326981246471405,50,0.1,180,30,10,1.7959515382716517e-05,3,24,0.75,0.017027925636380246,COMPLETE
4,0.005888011008501053,50,0.1,210,90,10,4.019790394476281e-05,1,20,0.7999999999999999,0.03574034935329254,COMPLETE
5,0.16685075610876082,20,0,180,90,6,7.456048346033988e-05,9,16,0.75,0.09194096581572143,COMPLETE
6,0.0037435101966063183,30,0.1,180,30,10,0.0007059457051589628,7,16,0.7,0.032193460231508535,COMPLETE
7,0.005121600069105625,40,0.1,210,90,12,4.5187465637684524e-05,1,20,0.7,0.010733985781205279,COMPLETE
8,0.0015537962462985888,20,0.1,150,0,6,6.85069507984874e-05,1,24,0.7,0.030548598068431496,COMPLETE
9,0.0020414934726431964,20,0,180,0,12,7.584567608296235e-05,5,20,0.7,0.055209838002858884,COMPLETE
10,0.00481701015184323,30,0.1,120,150,6,0.0003605180691675184,3,24,0.7999999999999999,0.021324335416102003,COMPLETE
11,0.04747694041579962,20,0,150,0,8,8.752730941987438e-05,5,20,0.7,0.050400873197401296,COMPLETE
12,0.014540549833327532,20,0,150,0,8,2.820760694131059e-05,1,24,0.7,0.04692569340753058,COMPLETE
13,0.0804477110505104,20,0,150,0,8,0.0001391454971712724,9,20,0.7,0.07563234020412836,COMPLETE
14,0.06108964780966441,30,0.1,150,60,6,6.726097188797211e-05,7,24,0.7,0.026749796394217235,COMPLETE
15,0.018352359160780908,40,0,120,30,8,0.000321605493475555,3,20,0.75,0.04141355091785631,COMPLETE
16,0.016636339761316777,20,0,150,60,6,2.6141723107709503e-05,5,24,0.7,0.057552096118130947,COMPLETE
17,0.08489010483026505,40,0.1,180,0,12,5.2896021964350724e-05,1,16,0.7999999999999999,0.027848731449908334,COMPLETE
18,0.09335026405751705,10,0,150,60,8,0.00013713874288718303,5,20,0.75,0.07055047967569927,COMPLETE
19,0.008993738231947646,20,0.1,180,0,10,0.0008310616403103921,3,20,0.7,0.09714375791359203,COMPLETE
20,0.0430256928006808,30,0,120,30,12,2.9340264984587746e-05,7,24,0.7,0.04115955383680061,COMPLETE
21,0.005895421343545119,30,0.1,180,30,10,0.0008516324672814743,7,16,0.7,0.03098543096226018,COMPLETE
22,0.020971484730641046,30,0.1,180,0,10,0.00041601585458205713,7,16,0.7,0.021042886484000142,COMPLETE
23,0.07287865616381169,20,0.1,210,30,12,0.00011095590717779558,9,16,0.7,0.036619006278023114,COMPLETE
24,0.024729460850358008,40,0.1,180,0,10,0.00021623100848168825,5,16,0.7,0.02461047136440287,COMPLETE
25,0.013231188183029492,30,0.1,150,30,8,0.0006459737166383711,9,20,0.75,0.014319674502695385,COMPLETE
26,0.010091514512896537,20,0.1,180,60,12,0.00020990350195101425,7,20,0.7,0.0349854731636017,COMPLETE
27,0.09988450407981872,30,0.1,210,0,6,9.602778172976106e-05,5,16,0.7,0.0467992356918334,COMPLETE
28,0.06644509360194206,10,0,150,30,10,6.278518272368e-05,7,24,0.75,0.03065603972864354,COMPLETE
29,0.004980538191739469,10,0.1,180,0,12,0.0004965524873871437,3,16,0.7,0.05407567067421292,COMPLETE
30,0.15987900495529175,20,0.1,150,30,12,3.566149718302026e-05,9,20,0.7,0.014765823639534473,COMPLETE
31,0.004713931617637475,30,0.1,120,150,6,0.00040662906921889997,3,24,0.7999999999999999,0.02262441009482974,COMPLETE
32,0.0024630521424114705,30,0.1,120,150,6,0.000619224006702563,1,24,0.7999999999999999,0.023276175880580716,COMPLETE
33,0.0012232816778123378,40,0.1,120,150,6,0.0002512009004707898,1,24,0.7999999999999999,0.01822263865206373,COMPLETE
34,0.001503699515014887,50,0.1,120,120,6,0.00023350150251033732,1,24,0.7999999999999999,0.017115150615732357,COMPLETE
35,6.103556486777961e-05,50,0.1,120,120,6,0.00024542144339071423,1,24,0.7999999999999999,0.012325163348586922,COMPLETE
36,0.002230280339717865,50,0.1,120,120,6,0.000248322558928671,1,24,0.7999999999999999,0.011928259694639403,COMPLETE
37,0.004170537814497948,50,0.1,120,120,6,0.00017856304462743626,1,24,0.7999999999999999,0.018036096138034564,COMPLETE
38,0.05543121814727783,50,0.1,120,120,6,0.00028631918594435377,1,24,0.7999999999999999,0.013351097224050888,COMPLETE
39,0.0011012794449925423,40,0.1,120,150,6,0.00017887501386452286,1,24,0.7999999999999999,0.016561340366104352,COMPLETE
40,0.0013764556497335434,40,0.1,120,150,6,0.00018399697171165438,1,24,0.7999999999999999,0.01585908365922316,COMPLETE
41,0.00024857399112079295,40,0.1,120,150,6,0.00016711577043924212,1,24,0.7999999999999999,0.01619306019629548,COMPLETE
