number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.0003672580025158823,50,0.1,150,90,12,0.0009405595903832203,1,20,0.75,0.029120527339279827,COMPLETE
1,0.1342750867207845,30,0.1,150,0,8,1.889028817065325e-05,5,24,0.75,0.010693990869680753,COMPLETE
2,0.07148045748472213,40,0.1,180,60,12,5.592011363511843e-05,9,16,0.7999999999999999,0.08273774343532708,COMPLETE
3,,30,0,120,120,8,0.0002356509626565438,1,24,0.75,0.035963158497309945,FAIL
4,0.0019598315780361493,30,0,120,120,8,0.0002356509626565438,1,24,0.75,0.035963158497309945,COMPLETE
5,0.0093618651968427,20,0,120,150,6,4.4642373929549194e-05,3,24,0.7999999999999999,0.09239945242358216,COMPLETE
6,0.051470480114221576,40,0.1,180,0,6,3.400082055746098e-05,3,20,0.75,0.04639208250001692,COMPLETE
7,0.2164953038096428,10,0.1,210,120,8,1.6804073898216533e-05,7,20,0.7,0.022946370739681494,COMPLETE
8,0.06777429208159447,20,0.1,150,120,6,0.00011927686901647076,9,16,0.7,0.050334745240540504,COMPLETE
9,0.0049566952511668205,30,0,180,90,8,0.0006872687177798717,5,16,0.7,0.023394558173097005,COMPLETE
10,0.03060556771233678,10,0,120,150,6,2.0953057088568357e-05,3,24,0.7,0.06425962386183923,COMPLETE
11,4.932063748128712e-05,50,0.1,210,60,12,0.0008682323875043105,1,20,0.7999999999999999,0.011123119737882513,COMPLETE
12,6.613786797970533e-05,50,0.1,210,60,12,0.0008842300647495198,1,20,0.7999999999999999,0.010715866671997826,COMPLETE
13,0.004072287380695343,50,0.1,210,30,12,0.00038426372870188386,1,20,0.7999999999999999,0.01049055479737459,COMPLETE
14,0.0024991241842508317,50,0.1,210,60,10,0.00035203205714467995,1,20,0.7999999999999999,0.015826927956658854,COMPLETE
15,0.00011428546131355687,40,0.1,210,30,10,0.00013433270346453304,3,20,0.7999999999999999,0.014875603052346299,COMPLETE
16,0.00043122073635458945,50,0.1,180,30,10,0.00048664314057540454,1,16,0.7999999999999999,0.016713093362357333,COMPLETE
17,0.08659914433956147,40,0.1,210,60,12,0.000995071135097402,7,20,0.7999999999999999,0.012651484085046892,COMPLETE
18,0.02146588444709778,50,0.1,210,90,10,0.00021168224166210985,3,16,0.75,0.020242987178511196,COMPLETE
19,0.0310540322214365,40,0,180,30,12,0.0005785995214296994,5,24,0.7999999999999999,0.01359698953652935,COMPLETE
20,0.00028701384086161853,50,0.1,210,60,12,0.00024307954023890843,1,20,0.7999999999999999,0.010076885642800371,COMPLETE
21,0.08665711581707,30,0.1,180,90,10,6.426996089005366e-05,7,20,0.75,0.01918848932845979,COMPLETE
22,0.010311253182590008,40,0.1,210,30,10,0.00012229308768379327,3,20,0.7999999999999999,0.013651823709206617,COMPLETE
23,0.06774125695228576,40,0.1,210,30,12,1.1069381778805569e-05,3,20,0.7999999999999999,0.012796041265760954,COMPLETE
24,0.0052019646018743515,50,0.1,210,0,10,0.00016590596453545893,1,20,0.7999999999999999,0.016043878117544243,COMPLETE
25,0.0511830061674118,40,0.1,210,60,12,8.072866189912807e-05,3,20,0.7999999999999999,0.012466169575381443,COMPLETE
26,0.0032679134979844092,50,0.1,180,30,10,0.0007162686338533107,1,16,0.75,0.028443029386392985,COMPLETE
27,0.06963803470134736,40,0,210,60,12,0.00035256813216601933,5,24,0.7999999999999999,0.018042692356147017,COMPLETE
28,0.043542304039001466,50,0.1,180,0,10,0.0003973893078841694,3,20,0.7999999999999999,0.01471120839767465,COMPLETE
29,0.005375530868768692,50,0.1,210,30,12,0.0007063029165131323,1,20,0.75,0.011542236773210453,COMPLETE
30,0.0030140331014990806,40,0.1,150,90,12,0.0009733814144613438,1,16,0.7999999999999999,0.02787504731609294,COMPLETE
31,0.0011634074058383703,50,0.1,210,60,12,0.00016129127157290754,1,24,0.75,0.02155378416907374,COMPLETE
32,9.148603538051248e-05,50,0.1,210,60,12,0.00022712740795795608,1,20,0.7999999999999999,0.01034552855244945,COMPLETE
33,0.0003521748352795839,50,0.1,210,90,12,8.876225969813112e-05,1,20,0.7999999999999999,0.010056625984966287,COMPLETE
34,0.015099613964557647,50,0.1,210,60,12,0.0002978528069132403,3,20,0.7999999999999999,0.01152600871389789,COMPLETE
35,0.004126897687092424,40,0.1,180,60,10,0.0004753506784850655,1,20,0.7999999999999999,0.011396036932148934,COMPLETE
36,3.240980392244334e-05,30,0.1,210,30,12,0.00016159727294191533,3,20,0.7999999999999999,0.01455785031605752,COMPLETE
37,0.002395797707140446,20,0,180,60,12,0.00026190940573225346,1,20,0.7999999999999999,0.03752271099575067,COMPLETE
38,0.004117829880366723,30,0.1,210,0,12,0.0005614398243627239,3,20,0.75,0.011678554537485787,COMPLETE
